class PXR_NS::TfAnyWeakPtr; availableFoundBySwift;
class PXR_NS::TfError; unavailable;
class PXR_NS::TfHash; unavailable;
class PXR_NS::TfNotice; unavailable;
class PXR_NS::TfNotice::Key; unavailable;
class PXR_NS::TfRefBase; availableImportedAsReference;
class PXR_NS::TfRefPtr<class PXR_NS::SdfLayer>; availableClassTemplateSpecialization;
class PXR_NS::TfRefPtr<class PXR_NS::UsdStage>; availableClassTemplateSpecialization;
class PXR_NS::TfStaticData<struct PXR_NS::UsdGeomTokensType>; noAnalysisBecauseBlockedByImport;
class PXR_NS::TfStaticData<struct PXR_NS::UsdMtlxTokensType>; noAnalysisBecauseBlockedByImport;
class PXR_NS::TfStaticData<struct PXR_NS::UsdShadeTokensType>; noAnalysisBecauseBlockedByImport;
class PXR_NS::TfStaticData<struct PXR_NS::UsdHydraTokensType>; noAnalysisBecauseBlockedByImport;
class PXR_NS::TfStaticData<struct PXR_NS::UsdLuxTokensType>; noAnalysisBecauseBlockedByImport;
class PXR_NS::TfStaticData<struct PXR_NS::UsdMediaTokensType>; noAnalysisBecauseBlockedByImport;
class PXR_NS::TfHashMap<const void *, struct PXR_NS::TfRefPtrTracker::Trace, class PXR_NS::TfHash>; unavailable;

class PXR_NS::TfToken; availableFoundBySwift;
class PXR_NS::TfType; availableFoundBySwift;
class PXR_NS::TfWeakBase; noAnalysisBecauseBlockedByImport;
class PXR_NS::TfWeakPtr<class PXR_NS::SdfLayer>; availableClassTemplateSpecialization;
class PXR_NS::TfWeakPtr<class PXR_NS::UsdStage>; availableClassTemplateSpecialization;

class PXR_NS::GfBBox3d; availableFoundBySwift;
class PXR_NS::GfCamera; availableFoundBySwift;
class PXR_NS::GfFrustum; availableFoundBySwift;
class PXR_NS::pxr_half::half; [availableDifferentArgumentTypes,, float,, float];
class PXR_NS::GfMatrix2d; availableFoundBySwift;
class PXR_NS::GfMatrix2f; availableFoundBySwift;
class PXR_NS::GfMatrix3d; availableFoundBySwift;
class PXR_NS::GfMatrix3f; availableFoundBySwift;
class PXR_NS::GfMatrix4d; availableFoundBySwift;
class PXR_NS::GfMatrix4f; availableFoundBySwift;
class PXR_NS::GfQuatd; availableFoundBySwift;
class PXR_NS::GfQuatf; availableFoundBySwift;
class PXR_NS::GfQuath; availableFoundBySwift;
class PXR_NS::GfQuaternion; availableFoundBySwift;
class PXR_NS::GfRange1d; availableFoundBySwift;
class PXR_NS::GfRange1f; availableFoundBySwift;
class PXR_NS::GfRange2d; availableFoundBySwift;
class PXR_NS::GfRange2f; availableFoundBySwift;
class PXR_NS::GfRange3d; availableFoundBySwift;
class PXR_NS::GfRange3f; availableFoundBySwift;
class PXR_NS::GfRect2i; availableFriendFunction;
class PXR_NS::GfVec2d; availableFoundBySwift;
class PXR_NS::GfVec2f; availableFoundBySwift;
class PXR_NS::GfVec2h; availableFoundBySwift;
class PXR_NS::GfVec2i; availableFoundBySwift;
class PXR_NS::GfVec3d; availableFoundBySwift;
class PXR_NS::GfVec3f; availableFoundBySwift;
class PXR_NS::GfVec3h; availableFoundBySwift;
class PXR_NS::GfVec3i; availableFoundBySwift;
