std::string; available;
class std::map<class PXR_NS::TfToken, class PXR_NS::VtValue, struct PXR_NS::TfDictionaryLessThan>; unavailable [$specialConditional class PXR_NS::VtValue];
class std::map<int, double>; available;
class std::set<int>; available;
class std::unordered_set<int>; available;
class std::multimap<class PXR_NS::SdfPath, class PXR_NS::SdfPath>; available;
class std::unordered_multimap<class PXR_NS::SdfPath, class PXR_NS::SdfPath, struct PXR_NS::SdfPath::Hash>; available;
class std::list<class PXR_NS::SdfPath>; available;

class std::vector<class PXR_NS::TfToken>; available;
class std::vector<class PXR_NS::SdfPath>; available;
class std::vector<class PXR_NS::SdfLayerOffset>; available;


class PXR_NS::TfEnum; unavailable [const class std::type_info * _typeInfo];
class PXR_NS::TfDiagnosticBase; unavailable [class PXR_NS::TfEnum _code,, class std::any _info,, class PXR_NS::TfCallContext _context];
class PXR_NS::TfError; unavailable [$inheritance class PXR_NS::TfDiagnosticBase];
class PXR_NS::TfHash; available;
class PXR_NS::TfNotice; available;
class PXR_NS::TfRefBase; unavailable [struct std::atomic<int> _refCount,, $specialImportedAsReference];
class PXR_NS::TfRefPtr<class PXR_NS::SdfLayer>; unavailable [const class PXR_NS::TfRefBase * _refBase];
class PXR_NS::TfRefPtr<class PXR_NS::UsdStage>; unavailable [const class PXR_NS::TfRefBase * _refBase];
class PXR_NS::TfStaticData<struct PXR_NS::UsdGeomTokensType>; available;
class PXR_NS::TfStaticData<struct PXR_NS::UsdMtlxTokensType>; available;
class PXR_NS::TfStaticData<struct PXR_NS::UsdShadeTokensType>; available;
class PXR_NS::TfStaticData<struct PXR_NS::UsdHydraTokensType>; available;
class PXR_NS::TfStaticData<struct PXR_NS::UsdLuxTokensType>; available;
class PXR_NS::TfStaticData<struct PXR_NS::UsdMediaTokensType>; available;
class PXR_NS::TfWeakPtrFacade<PXR_NS::TfWeakPtr, class PXR_NS::SdfLayer>; available;
class PXR_NS::TfWeakPtr<class PXR_NS::SdfLayer>; unavailable [class PXR_NS::SdfLayer * _rawPtr,, class PXR_NS::TfRefPtr<class PXR_NS::Tf_Remnant> _remnant];
class PXR_NS::TfWeakPtr<class PXR_NS::UsdStage>; unavailable [class PXR_NS::UsdStage * _rawPtr,, class PXR_NS::TfRefPtr<class PXR_NS::Tf_Remnant> _remnant];
class PXR_NS::TfAnyWeakPtr; unavailable [struct PXR_NS::TfAnyWeakPtr::_Data _ptrStorage];
class PXR_NS::TfNotice::Key; unavailable [class PXR_NS::TfWeakPtr<class PXR_NS::TfNotice::_DelivererBase> _deliverer];
class PXR_NS::TfRefPtr<class PXR_NS::SdfData>; unavailable [const class PXR_NS::TfRefBase * _refBase];
class PXR_NS::TfRefPtr<class PXR_NS::UsdMtlxFileFormat>; unavailable [const class PXR_NS::TfRefBase * _refBase];
class PXR_NS::TfToken; available;
class PXR_NS::TfType; unavailable [struct PXR_NS::TfType::_TypeInfo * _info];
class PXR_NS::TfWeakBase; unavailable [struct std::atomic<class PXR_NS::Tf_Remnant *> _remnantPtr];


class PXR_NS::GfBBox3d; available;
class PXR_NS::GfCamera; available;
class PXR_NS::GfFrustum; available;
class PXR_NS::pxr_half::half; available;
class PXR_NS::GfMatrixData<double, 2, 2>; available;
class PXR_NS::GfMatrix2d; available;
class PXR_NS::GfMatrix2f; available;
class PXR_NS::GfMatrix3f; available;
class PXR_NS::GfMatrix3d; available;
class PXR_NS::GfMatrix4f; available;
class PXR_NS::GfMatrix4d; available;
class PXR_NS::GfQuatd; available;
class PXR_NS::GfQuatf; available;
class PXR_NS::GfQuath; available;
class PXR_NS::GfQuaternion; available;
class PXR_NS::GfRange1d; available;
class PXR_NS::GfRange1f; available;
class PXR_NS::GfRange2d; available;
class PXR_NS::GfRange2f; available;
class PXR_NS::GfRange3d; available;
class PXR_NS::GfRange3f; available;
class PXR_NS::GfRect2i; available;
class PXR_NS::GfVec2d; available;
class PXR_NS::GfVec2f; available;
class PXR_NS::GfVec2h; available;
class PXR_NS::GfVec2i; available;
class PXR_NS::GfVec3d; available;
class PXR_NS::GfVec3f; available;
class PXR_NS::GfVec3h; available;
class PXR_NS::GfVec3i; available;
class PXR_NS::GfVec4d; available;
class PXR_NS::GfVec4f; available;
class PXR_NS::GfVec4h; available;
class PXR_NS::GfVec4i; available;


class PXR_NS::PlugRegistry; unavailable [$inheritance class PXR_NS::TfWeakBase];
class PXR_NS::Plug_RegistrationMetadata; unavailable [class std::map<std::string, class PXR_NS::JsValue> plugInfo];

class PXR_NS::Vt_ArrayBase; unavailable [class PXR_NS::Vt_ArrayForeignDataSource * _foreignSource];
class PXR_NS::VtArray<TfToken>; available;
class PXR_NS::VtArray<int>; available;
class PXR_NS::VtArray<GfVec3f>; available;
class PXR_NS::VtArray<GfVec4d>; available;
class PXR_NS::VtArray<class PXR_NS::SdfPath>; available;
